,County,Population,White Population,% White,Black Population,% Black,Asian Population,% Asian,Hispanic Population,% Hispanic
109,"Pinal County, Arizona",425264,269258,0.6331549343466647,21968,0.05165732345084465,6718,0.01579724594604763,121533,0.28578247864855716
110,"Santa Cruz County, Arizona",47669,15929,0.3341584677673121,187,0.00392288489374646,304,0.006377310201598523,39632,0.831399861545239
111,"Yavapai County, Arizona",236209,192507,0.8149858811476277,1543,0.006532350587826882,2932,0.012412736178553738,34390,0.14559140422253175
112,"Yuma County, Arizona",203881,90318,0.44299370711346325,4099,0.020104865092872803,2587,0.012688774334047803,130003,0.6376415654229673
113,"Arkansas County, Arkansas",17149,11698,0.6821389002274185,4156,0.24234649250685172,94,0.00548136917604525,636,0.03708671059536999
114,"Ashley County, Arkansas",19062,12958,0.6797817647676004,4669,0.24493757213303954,41,0.002150876088553142,1114,0.05844087713776099
115,"Baxter County, Arkansas",41627,38489,0.9246162346553919,90,0.002162058279482067,234,0.005621351526653374,1058,0.0254161962188003
116,"Benton County, Arkansas",284333,201188,0.7075787896586045,4732,0.01664245796302223,13721,0.04825679748745309,50540,0.17774932913168714
117,"Boone County, Arkansas",37373,34128,0.913172611243411,108,0.002889786744441174,246,0.006582292029004897,973,0.026034837984641318
118,"Bradley County, Arkansas",10545,5890,0.5585585585585585,2937,0.27852062588904697,30,0.002844950213371266,1575,0.14935988620199148
119,"Calhoun County, Arkansas",4739,3539,0.7467820215235281,913,0.19265667862418231,6,0.0012660898923823592,127,0.02679890272209327
120,"Carroll County, Arkansas",28260,21952,0.7767869780608634,95,0.003361641896673744,567,0.020063694267515923,4306,0.15237084217975938
121,"Chicot County, Arkansas",10208,3953,0.38724529780564265,5417,0.5306622257053292,38,0.0037225705329153604,581,0.05691614420062696
122,"Clark County, Arkansas",21446,14316,0.6675370698498555,5127,0.2390655600111909,153,0.007134197519350928,1092,0.050918586216543875
123,"Clay County, Arkansas",14552,13731,0.9435816382627817,42,0.002886201209455745,15,0.0010307861462341946,327,0.022471137987905444
124,"Cleburne County, Arkansas",24711,22953,0.9288575937841447,69,0.0027922787422605317,102,0.0041277164016025256,632,0.025575654566792116
125,"Cleveland County, Arkansas",7550,6466,0.8564238410596027,686,0.09086092715231787,7,0.0009271523178807947,182,0.024105960264900663
126,"Columbia County, Arkansas",22801,13371,0.5864216481733258,7866,0.3449848690846893,168,0.007368097890443402,773,0.033902021841147316
127,"Conway County, Arkansas",20715,16367,0.7901037895244991,2209,0.10663770214820179,90,0.004344677769732078,886,0.04277093893314023
128,"Craighead County, Arkansas",111231,80639,0.7249687587093526,18473,0.16607780205158634,1692,0.015211586697952908,6727,0.06047774451366975
129,"Crawford County, Arkansas",60133,48610,0.8083747692614704,897,0.014916934129346615,947,0.015748424326077197,4567,0.07594831456937123
130,"Crittenden County, Arkansas",48163,19276,0.4002242385233478,25905,0.5378610136411769,327,0.0067894441791416646,1428,0.029649315864875528
131,"Cross County, Arkansas",16833,12213,0.7255391195865265,3658,0.21731123388581952,102,0.0060595259312065585,352,0.02091130517435989
132,"Dallas County, Arkansas",6482,3487,0.5379512496143166,2592,0.39987658130206727,7,0.0010799136069114472,201,0.031008947855600124
133,"Desha County, Arkansas",11395,4845,0.4251864853005704,5398,0.47371654234313293,61,0.005353225098727512,773,0.06783677051338306
134,"Drew County, Arkansas",17350,11291,0.6507780979827089,4846,0.2793083573487032,108,0.00622478386167147,656,0.03780979827089337
135,"Faulkner County, Arkansas",123498,94088,0.761858491635492,14384,0.11647152180602115,1475,0.011943513255275389,6790,0.05498064745987789
136,"Franklin County, Arkansas",17097,15367,0.8988126571913201,79,0.004620693688951278,163,0.009533836345557701,491,0.028718488623735158
137,"Fulton County, Arkansas",12075,11249,0.9315942028985508,27,0.0022360248447204968,35,0.002898550724637681,154,0.012753623188405797
138,"Garland County, Arkansas",100180,78837,0.7869534837292873,8128,0.08113395887402675,972,0.009702535436214813,7047,0.0703433819125574
139,"Grant County, Arkansas",17958,16304,0.9078962022496937,458,0.025503953669673684,77,0.0042877826038534355,440,0.02450161487916249
140,"Greene County, Arkansas",45736,41038,0.8972800419800595,933,0.02039968514955396,181,0.003957495189784852,1596,0.03489592443589295
141,"Hempstead County, Arkansas",20065,11006,0.548517318714179,5683,0.28322950411163716,96,0.004784450535758784,2953,0.14717169200099675
142,"Hot Spring County, Arkansas",33040,26525,0.8028147699757869,3472,0.10508474576271186,114,0.003450363196125908,1265,0.03828692493946731
143,"Howard County, Arkansas",12785,8164,0.6385608134532655,2642,0.206648416112632,63,0.0049276495893625346,1517,0.11865467344544388
144,"Independence County, Arkansas",37938,32108,0.8463282197269228,849,0.02237861774474142,345,0.009093784595919658,3258,0.08587695714059781
145,"Izard County, Arkansas",13577,12306,0.9063857995138838,256,0.018855417249760625,27,0.0019886572880606908,326,0.024011195403992044
146,"Jackson County, Arkansas",16755,12890,0.7693225902715607,2786,0.1662787227693226,63,0.0037600716204118172,461,0.027514174873172186
147,"Jefferson County, Arkansas",67260,25478,0.37879869164436514,37835,0.5625185845970859,673,0.010005947071067499,1488,0.022123104371097234
148,"Johnson County, Arkansas",25749,20088,0.7801468018175464,482,0.018719173560138257,926,0.035962561652879727,3439,0.13355858479940969
149,"Lafayette County, Arkansas",6308,3906,0.6192136968928345,2057,0.3260938490805327,32,0.0050729232720355105,145,0.022986683576410906
150,"Lawrence County, Arkansas",16216,15044,0.9277257030093734,143,0.008818450912678836,39,0.002405032067094228,357,0.02201529353724716
151,"Lee County, Arkansas",8600,3465,0.4029069767441861,4663,0.5422093023255814,13,0.0015116279069767441,216,0.025116279069767444
152,"Lincoln County, Arkansas",12941,8324,0.6432269530948149,3652,0.2822038482342941,23,0.0017772969631404064,619,0.04783247044277877
153,"Little River County, Arkansas",12026,8714,0.7245967071345418,2178,0.1811076001995676,23,0.0019125228671212373,409,0.03400964576750374
154,"Logan County, Arkansas",21131,18826,0.8909185556764943,232,0.010979130187875634,328,0.015522218541479343,640,0.030287255690691402
155,"Lonoke County, Arkansas",74015,61624,0.8325879889211646,4386,0.059258258461122745,733,0.009903397959872998,3610,0.04877389718300344
156,"Madison County, Arkansas",16521,14275,0.8640518128442588,41,0.0024816899703407782,102,0.006173960414018522,890,0.053870831063494946
157,"Marion County, Arkansas",16826,15569,0.9252941875668608,20,0.001188636633781053,56,0.0033281825745869486,379,0.022524664210150955
158,"Miller County, Arkansas",42600,28036,0.6581220657276995,10988,0.2579342723004695,205,0.004812206572769953,1583,0.03715962441314554
159,"Mississippi County, Arkansas",40685,23208,0.5704313629101635,14323,0.3520462086764164,245,0.006021875384048175,1771,0.04352955634754824
160,"Monroe County, Arkansas",6799,3568,0.5247830563318135,2760,0.4059420503015149,28,0.004118252684218267,186,0.027356964259449917
161,"Montgomery County, Arkansas",8484,7577,0.8930928807166431,18,0.0021216407355021216,50,0.005893446487505893,415,0.048915605846298914
162,"Nevada County, Arkansas",8310,5218,0.6279181708784597,2444,0.2941034897713598,45,0.005415162454873646,354,0.04259927797833935
163,"Newton County, Arkansas",7225,6689,0.9258131487889273,7,0.0009688581314878892,24,0.0033217993079584776,82,0.011349480968858131
164,"Ouachita County, Arkansas",22650,12194,0.5383664459161148,8899,0.3928918322295806,126,0.005562913907284768,516,0.022781456953642386
165,"Perry County, Arkansas",10019,9165,0.9147619522906477,107,0.010679708553747879,12,0.001197724323784809,286,0.02854576305020461
166,"Phillips County, Arkansas",16568,5616,0.33896668276195074,10343,0.6242757122163206,65,0.003923225494929986,264,0.0159343312409464
